Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39
52,1.1,52-1.1,,,Total arrivals,,,Thousands,,VF,927,957,990,1019,947,1078,1035,1021,1090,1273,1111,1102,1191,1165,1154,1197,1187,1053,1079,1079,1179,1227,1345,1356,966,545.8,242,897.6,
112,0,112-0,BELARUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,1.1,112-1.1,,,Total arrivals,,,Thousands,1/,VF,..,..,..,..,..,2030,1852,1907,1729,1816,4738,5276,5283,5262,4872,5674,5877,6130,6242,5375,4386,10935,11060,11502,11832,3598,3361,4920,
56,0,56-0,BELGIUM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,1.1,56-1.1,,,Total arrivals,,,Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
84,0,84-0,BELIZE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,1.1,84-1.1,,,Total arrivals,,,Thousands,,VF,342,349,305,300,340,374,385,694,999,1329,1037,903,880,846,941,1054,1106,1028,1022,1289,1299,1391,1441,1697,1674,487,437,..,
204,0,204-0,BENIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204,1.1,204-1.1,,,Total arrivals,,,Thousands,,VF,580,516,541,575,941,1068,1155,853,850,845,960,975,1010,1027,..,..,222,232,252,265,279,292,307,322,337,354,..,..,
60,0,60-0,BERMUDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,1.1,60-1.1,,,Total arrivals,,,Thousands,,VF,557,570,562,558,549,539,458,484,483,478,517,635,660,550,554,580,652,610,576,580,597,642,688,766,805,51.4,86.4,548.5,
64,0,64-0,BHUTAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,1.1,64-1.1,,,Total arrivals,,,Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
68,0,68-0,"BOLIVIA, PLURINATIONAL STATE OF",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,1.1,68-1.1,,,Total arrivals,,,Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
534,0,534-0,BONAIRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
534,1.1,534-1.1,,,Total arrivals,,,Thousands,,VF,70,80,86,85,78,96,94,94,107,116,103,126,172,250,280,297,..,..,..,..,..,..,..,..,..,..,..,..,
70,0,70-0,BOSNIA AND HERZEGOVINA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,1.1,70-1.1,,,Total arrivals,,,Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
72,0,72-0,BOTSWANA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,1.1,72-1.1,,,Total arrivals,,,Thousands,,VF,636,656,765,940,1039,1306,1451,1485,1592,1727,1684,1642,1965,2344,..,..,..,..,..,..,1660,1712,1775,1830,1555.4,358.2,338,..,
76,0,76-0,BRAZIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,1.1,76-1.1,,,Total arrivals,,,Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
92,0,92-0,BRITISH VIRGIN ISLANDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,1.1,92-1.1,,,Total arrivals,,,Thousands,,VF,365,412,365,392,484,519,535,544,614,813,821,825,948,934,857,842,831,753,742,773,922,1124,..,..,895,..,..,..,
96,0,96-0,BRUNEI DARUSSALAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,1.1,96-1.1,,,Total arrivals,,,Thousands,,VF,498,837,643,964,967,984,840,891,944,..,815,836,877,..,..,..,..,..,..,..,..,4257,4316,4521,4449,1071,110,..,
100,0,100-0,BULGARIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,1.1,100-1.1,,,Total arrivals,,,Thousands,,VF,8005,6811,7543,5240,5056,4922,5104,5563,6241,6982,7282,7499,7726,8533,7873,8374,8713,8867,9192,9409,9317,10604,11596,12368,12552,4973,7188,10888,
854,0,854-0,BURKINA FASO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
854,1.1,854-1.1,,,Total arrivals,,,Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
108,0,108-0,BURUNDI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,1.1,108-1.1,,,Total arrivals,,,Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
132,0,132-0,CABO VERDE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,1.1,132-1.1,,,Total arrivals,,,Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
116,0,116-0,CAMBODIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,1.1,116-1.1,,,Total arrivals,,,Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
120,0,120-0,CAMEROON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
