Country,Arrival by Region,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
ANGOLA,South Asia,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,2.0,4.0,6.0,11.0,10.0,14.0,10.0,8.0,7.5,10.3,9.4,6.7,6.2,8.6,2.8,3.2,6.2
ANGUILLA,Americas,35.3,33.7,36.6,32.5,33.45,33.1,38.7,37.48,39.3,44.8,52.1,61.7,63.8,57.0,49.0,53.1,56.6,55.3,59.5,60.6,63.1,67.4,57.1,45.8,80.8,21.2,25.2,63.7
ANGUILLA,Europe,2.4,2.9,5.46,10.1,11.7,9.4,8.0,5.4,6.3,7.7,8.1,9.2,10.8,8.9,7.46,7.5,7.5,7.2,7.4,8.0,7.9,8.9,8.4,6.2,10.7,3.1,2.1,8.0
ANGUILLA,Other not classified,0.9,0.8,1.1,1.2,1.6,1.2,1.2,1.1,1.3,1.5,1.9,2.0,3.1,2.3,1.4,1.3,1.65,2.2,2.1,2.4,2.2,2.9,2.7,2.5,3.9,1.1,1.1,2.3
ANTIGUA AND BARBUDA,Africa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.6,0.6,0.1,0.4,1.0
ANTIGUA AND BARBUDA,Americas,124.0,128.0,138.0,134.0,115.0,107.0,107.0,108.0,122.0,129.0,128.0,139.0,141.0,152.0,138.5,138.5,146.6,154.3,152.0,155.0,151.0,165.9,153.2,176.3,197.8,84.8,115.3,171.6
ANTIGUA AND BARBUDA,East Asia and the Pacific,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,1.4,1.5,2.0,2.0,2.1,2.2,2.3,2.8,1.0,0.6,1.2
ANTIGUA AND BARBUDA,Europe,84.0,88.0,90.0,88.0,87.0,90.0,78.0,82.0,99.0,113.0,108.0,107.0,115.0,110.0,93.4,89.0,92.0,90.0,88.0,91.0,96.0,96.1,90.5,88.8,98.2,38.5,52.6,90.1
ANTIGUA AND BARBUDA,Middle East,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.1,0.2,0.1,0.5,0.0,0.1,0.3
ANTIGUA AND BARBUDA,South Asia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.5,0.6,0.7,1.0,0.2,0.3,0.8
ANTIGUA AND BARBUDA,Other not classified,4.0,4.0,4.0,4.0,6.0,9.0,8.0,8.0,4.0,3.0,9.0,8.0,6.0,4.0,2.3,2.4,1.3,1.3,1.3,1.0,0.0,0.0,0.2,0.1,0.2,0.4,0.1,0.1
ARGENTINA,Africa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.4,14.0,16.1,15.1,3.0,0.3,5.2
ARGENTINA,Americas,1988.0,2252.0,2378.0,2595.0,2491.0,2480.0,2157.0,2420.0,2425.0,2722.0,2984.0,3283.0,3609.0,3710.0,3392.0,5540.3,5461.5,5318.2,5386.6,6016.6,5655.6,5446.8,5512.5,5692.1,6043.8,1659.9,218.1,3323.4
ARGENTINA,East Asia and the Pacific,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,209.0,210.7,226.8,231.5,67.9,2.7,34.1
ARGENTINA,Europe,248.0,299.0,320.0,344.0,337.0,354.0,371.0,324.0,456.0,546.0,631.0,662.0,738.0,766.0,722.0,998.2,969.5,911.7,865.9,891.2,895.9,989.5,963.6,994.9,1096.5,356.8,75.9,522.5
ARGENTINA,Middle East,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8,1.0,0.8,0.2,0.0,1.4
ARGENTINA,South Asia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.3,7.9,9.4,9.8,1.7,0.2,3.1
ARGENTINA,Other not classified,52.0,63.0,66.0,73.0,71.0,75.0,92.0,77.0,115.0,188.0,208.0,228.0,215.0,224.0,194.0,261.1,272.0,267.3,257.9,257.6,264.2,1.3,1.7,1.6,1.6,0.1,0.2,0.0
ARMENIA,Africa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.7,1.0,0.9,1.0,0.4,0.7,1.6,1.1,0.2,0.5,0.8
ARMENIA,Americas,2.0,1.0,3.0,5.0,6.0,8.0,41.0,46.0,58.0,75.0,86.0,98.0,127.0,135.0,135.0,136.0,145.0,128.9,147.0,156.9,89.4,90.4,102.4,101.6,76.0,9.4,34.5,58.1
ARMENIA,East Asia and the Pacific,0.0,0.0,1.0,1.0,1.0,1.0,3.0,3.0,6.0,9.0,14.0,16.0,23.0,24.0,25.0,26.0,29.0,29.8,31.0,27.9,10.2,19.3,38.6,50.1,63.9,8.6,6.3,22.6
ARMENIA,Europe,8.0,11.0,16.0,23.0,27.0,25.0,48.0,80.0,99.0,127.0,160.0,203.0,278.0,308.0,311.0,351.0,375.0,605.7,702.0,811.9,922.4,937.7,1095.7,1269.4,1516.3,325.1,702.1,1424.2
ARMENIA,Middle East,0.0,0.0,1.0,1.0,2.0,2.0,13.0,14.0,19.0,23.0,28.0,33.0,41.0,44.0,45.0,46.0,49.0,49.7,52.0,55.8,20.9,18.8,30.0,37.0,37.4,4.1,16.2,25.3
