Country,Arrival by mode of transport,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
AUSTRALIA,Water,14.0,15.0,13.0,21.0,33.0,27.0,24.0,22.0,16.0,14.0,13.0,19.0,26.0,27.0,26.0,18.0,11.0,16.0,96.2,57.2,62.0,59.8,72.2,78.3,78.5,39.1,0.2,19.1
AZERBAIJAN,Air,0.0,195.0,286.0,466.0,564.0,658.0,739.0,173.0,217.0,276.0,276.0,281.0,297.0,572.0,624.0,646.0,795.0,946.0,993.5,1089.2,968.9,1164.9,1151.5,1183.8,1285.2,219.4,380.2,1042.1
AZERBAIJAN,Water,0.0,1.0,3.0,1.0,1.0,1.0,2.0,2.0,6.0,8.0,10.0,9.0,9.0,15.0,13.0,14.0,20.0,21.0,26.6,16.1,32.1,16.8,18.9,28.3,24.5,19.7,17.1,24.0
AZERBAIJAN,Land,0.0,14.0,17.0,16.0,37.0,22.0,26.0,659.0,815.0,995.0,891.0,903.0,1026.0,1312.0,1193.0,1303.0,1424.0,1517.0,1488.8,1192.4,1005.7,1066.8,1526.3,1637.4,1860.6999999999998,556.6,394.50000000000006,536.2
BAHAMAS,Air,1317.0,1368.0,1368.0,1305.0,1439.0,1481.0,1428.0,1403.0,1429.0,1450.0,1514.5,1492.0,1487.0,1393.0,1252.0,1295.0,1268.0,1357.0,1281.0,1343.0,1391.0,1392.0,1335.6,1558.1,1662.4,418.3,886.6,1470.2
BAHAMAS,Water,1922.0,2048.0,2078.0,2043.0,2209.0,2722.0,2755.0,3003.0,3165.0,3554.0,3264.9,3239.0,3114.0,3001.0,3393.0,3960.0,4320.0,4583.0,4870.0,4977.0,4721.0,4873.0,4800.2,5063.9,5587.1,1376.2,1214.0,5530.5
BAHRAIN,Air,0.0,505.0,552.0,606.0,656.0,720.0,791.0,920.0,974.0,1176.0,1301.0,1544.0,1642.0,1855.0,1941.0,2280.0,1521.0,1628.0,1615.0,1705.5,1048.0,1069.0,1196.6,1150.5,1220.6,299.0,393.3,978.7
BAHRAIN,Water,0.0,2.0,4.0,5.0,5.0,6.0,9.0,13.0,8.0,7.0,5.0,12.0,53.0,80.0,94.0,143.0,55.0,55.0,66.0,59.0,40.0,56.0,68.6,81.1,133.7,51.3,7.3,32.6
BAHRAIN,Land,0.0,1481.0,2044.0,2286.0,2619.0,3143.0,3588.0,3897.0,3862.0,4484.0,5007.0,5733.0,6139.0,6696.0,6825.0,9528.0,5156.0,6381.0,7481.5,8684.3,8582.0,9033.0,10108.8,10813.1,9706.9,1558.7,3211.5,8937.4
BANGLADESH,Air,131.0,136.0,148.0,139.0,134.0,151.0,158.0,151.0,187.0,218.0,140.0,151.0,227.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
