Country,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
"BOLIVIA, PLURINATIONAL STATE OF",284.0,313.0,355.0,387.0,342.0,319.0,316.0,334.0,427.0,480.0,524.0,521.0,573.0,530.0,599.0,679.0,711.0,798.0,798.0,871.0,882.0,961.0,1109.0,1142.0,1239.0,323.3,180.0,724.0
BONAIRE,70.0,80.0,86.0,85.0,78.0,96.0,94.0,94.0,107.0,116.0,103.0,126.0,172.0,250.0,280.0,297.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BOSNIA AND HERZEGOVINA,0.0,0.0,115.0,148.0,147.0,171.0,139.0,160.0,165.0,190.0,217.0,256.0,306.0,322.0,311.0,365.0,392.0,439.0,529.0,536.0,678.0,778.0,923.0,1053.0,1198.0,197.0,502.0,915.0
BOTSWANA,636.0,656.0,765.0,940.0,1039.0,1306.0,1451.0,1485.0,1592.0,1727.0,1684.0,1642.0,1965.0,2344.0,1721.0,1973.0,0.0,1614.0,1544.0,1966.0,1660.0,1712.0,1775.0,1830.0,1555.4,358.2,338.0,0.0
BRAZIL,1991.0,2666.0,2850.0,4818.0,5107.0,5313.0,4773.0,3785.0,4133.0,4794.0,5358.0,5017.0,5026.0,5050.0,4802.0,5161.0,5433.0,5677.0,5813.0,6430.0,6306.0,6547.0,6589.0,6621.0,6353.0,2146.0,746.0,3630.0
BRITISH VIRGIN ISLANDS,365.0,412.0,365.0,392.0,484.0,519.0,535.0,544.0,614.0,813.0,821.0,825.0,948.0,934.0,857.0,842.0,831.0,753.0,742.0,773.0,922.0,1124.0,335.0,192.0,895.0,83.0,56.0,173.0
BRUNEI DARUSSALAM,498.0,837.0,643.0,964.0,967.0,984.0,840.0,891.0,944.0,119.0,815.0,836.0,877.0,226.0,157.0,214.0,242.0,209.0,225.0,201.0,218.0,4257.0,4316.0,4521.0,4449.0,1071.0,110.0,0.0
BULGARIA,8005.0,6811.0,7543.0,5240.0,5056.0,4922.0,5104.0,5563.0,6241.0,6982.0,7282.0,7499.0,7726.0,8533.0,7873.0,8374.0,8713.0,8867.0,9192.0,9409.0,9317.0,10604.0,11596.0,12368.0,12552.0,4973.0,7188.0,10888.0
BURKINA FASO,124.0,131.0,138.0,160.0,117.0,126.0,128.0,150.0,163.0,222.0,245.0,264.0,289.0,272.0,269.0,274.0,238.0,237.0,218.0,191.0,163.0,152.0,143.0,144.0,143.0,67.0,106.0,116.0
BURUNDI,34.0,27.0,11.0,15.0,26.0,29.0,36.0,74.0,74.0,133.0,148.0,214.0,192.0,202.0,212.0,142.0,144.0,147.0,234.0,235.0,131.0,187.0,299.0,0.0,0.0,0.0,0.0,0.0
CABO VERDE,28.0,37.0,45.0,52.0,67.0,115.0,134.0,126.0,150.0,157.0,198.0,242.0,267.0,285.0,287.0,336.0,428.0,482.0,503.0,494.0,520.0,598.0,668.0,710.0,758.0,180.0,135.0,785.0
CAMBODIA,220.0,260.0,219.0,287.0,368.0,466.0,605.0,787.0,701.0,1055.0,1422.0,1700.0,2015.0,2125.0,2162.0,2508.0,2882.0,3584.0,4210.0,4503.0,4775.0,5012.0,5602.0,6201.0,6611.0,1306.0,196.4,2276.6
CAMEROON,100.0,145.0,232.0,247.0,262.0,277.0,221.0,226.0,0.0,190.0,176.0,451.0,477.0,487.0,498.0,573.0,604.0,817.0,783.0,822.0,897.0,994.0,1081.0,997.0,1021.0,616.0,963.0,539.0
CANADA,41657.0,43256.0,45076.0,48064.0,49055.0,48638.0,47147.0,44896.0,38903.0,38845.0,36160.0,33390.0,30373.0,27370.0,24696.0,25621.0,25066.0,25318.0,25167.0,25558.0,27555.0,30142.0,31081.0,31274.0,32430.0,5068.0,4282.1,17924.0
CAYMAN ISLANDS,1044.0,1173.0,1248.0,1275.0,1431.0,1385.0,1549.0,1878.0,2113.0,1953.0,1967.0,2197.0,2008.0,1856.0,1792.0,1886.0,1710.0,1829.0,1721.0,1993.0,2102.0,2097.0,2147.0,2384.0,2334.0,660.0,17.3,1027.7
CENTRAL AFRICAN REPUBLIC,26.0,21.0,17.0,7.5,10.0,11.2,9.9,2.9,5.7,8.2,12.0,13.8,17.1,30.6,52.4,53.8,65.4,70.8,83.5,95.7,120.5,82.0,107.0,109.0,87.0,34.6,0.0,0.0
CHAD,58.0,67.0,77.0,89.0,93.0,94.0,175.0,149.0,101.0,106.0,59.0,46.0,77.0,61.0,70.0,71.0,77.0,86.0,97.0,119.0,120.0,98.0,87.0,77.0,79.0,11.0,40.0,0.0
CHILE,1540.0,1450.0,1644.0,1759.0,1632.0,1742.0,1723.0,1412.0,1614.0,1785.0,2027.0,2253.0,2507.0,3713.0,3657.0,3584.0,3963.0,4397.0,4457.0,4601.0,5487.0,6712.0,7621.0,6603.0,5431.0,1310.5,192.0,2269.0
